species.length2weight.condition.factor.sp0,0.00308,log
species.length2weight.condition.factor.sp1,0.00716,log
species.length2weight.condition.factor.sp2,0.00657,log
species.length2weight.condition.factor.sp3,0.00621,log
species.length2weight.condition.factor.sp4,0.0092,log
species.length2weight.condition.factor.sp5,0.0068,log
species.length2weight.condition.factor.sp6,0.0262,log
species.length2weight.condition.factor.sp7,0.00391,log
species.length2weight.condition.factor.sp8,0.0103,log
species.length2weight.condition.factor.sp9,0.0054,log
species.length2weight.condition.factor.sp10,0.00338,log
species.length2weight.condition.factor.sp11,0.00503,log
species.length2weight.condition.factor.sp12,0.00594,log
species.length2weight.condition.factor.sp13,0.25,log
species.length2weight.condition.factor.sp14,0.27,log
species.length2weight.condition.factor.sp15,0.0033,log
