predation.efficiency.critical.sp0,0.57,logit
predation.efficiency.critical.sp1,0.57,logit
predation.efficiency.critical.sp2,0.57,logit
predation.efficiency.critical.sp3,0.57,logit
predation.efficiency.critical.sp4,0.57,logit
predation.efficiency.critical.sp5,0.57,logit
predation.efficiency.critical.sp6,0.57,logit
predation.efficiency.critical.sp7,0.57,logit
predation.efficiency.critical.sp8,0.57,logit
predation.efficiency.critical.sp9,0.57,logit
predation.efficiency.critical.sp10,0.57,logit
predation.efficiency.critical.sp11,0.57,logit
predation.efficiency.critical.sp12,0.57,logit
predation.efficiency.critical.sp13,0.57,logit
predation.efficiency.critical.sp14,0.57,logit
predation.efficiency.critical.sp15,0.57,logit
