"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.365222218959559,0,0.359288147611746,0.158749068716741
"redMullet",0.22894391408615,0,0,0.114287316271086
"pouting",0.414944677420335,0,0,0.247926594743166
"whiting",0.803663573561774,0,0,0.509499151804526
"poorCod",0,0,0,0
"cod",0.188200345635508,0,0.217205362010299,0.117164585785156
"dragonet",0,0,0,0
"sole",0.186240376820811,0,0.202966291691955,0.218192787043892
"plaice",0.392177540944666,0,0.381094511338947,0.204071652305359
"horseMackerel",0.107158108955011,0.119349831790945,0,0.113861920736458
"mackerel",0.982591300802568,0.333685016545025,0,0.616484551608638
"herring",0,1.10983709773458,0,0.829459534933141
"sardine",0,0.341702250094654,0,0.520680909084343
"squids",0.512923134775713,0,0,0.210706875497765
"cuttlefish",0.327044275432482,0,0,0.118344307426348
"thornbackRay",0.0737755242304031,0,0,0.527930726385317
